State Republican Democratic Others Total
AL 941,173 692,611 32,488 1,666,272
AK 167,398 79,004 39,158 285,560
AZ 781,652 685,341 65,023 1,532,016
AR 472,940 422,768 26,073 921,781
CA 4,567,429 5,861,203 537,224 10,965,856
CO 883,748 738,227 119,393 1,741,368
CT 561,094 816,015 82,416 1,459,525
DE 137,288 180,068 10,266 327,622
DC 18,073 171,923 11,898 201,894
FL 2,912,790 2,912,253 138,067 5,963,110
GA 1,419,720 1,116,230 60,854 2,596,804
HI 137,845 205,286 24,820 367,951
ID 336,937 138,637 26,047 501,621
IL 2,019,421 2,589,026 133,676 4,742,123
IN 1,245,836 901,980 51,486 2,199,302
IA 634,373 638,517 42,673 1,315,563
KS 622,332 399,276 50,610 1,072,218
KY 872,492 638,898 32,797 1,544,187
LA 927,871 792,344 45,441 1,765,656
ME 286,616 319,951 45,250 651,817
MD 813,797 1,140,782 65,901 2,020,480
MA 878,502 1,616,487 207,995 2,702,984
MI 1,953,139 2,170,418 108,944 4,232,501
MN 1,109,659 1,168,266 160,760 2,438,685
MS 572,844 404,614 16,726 994,184
MO 1,189,924 1,111,138 58,830 2,359,892
MT 240,178 137,126 33,693 410,997
NE 433,862 231,780 31,377 697,019
NV 301,575 279,978 27,417 608,970
NH 273,559 266,348 29,174 569,081
NJ 1,284,173 1,788,850 114,203 3,187,226
NM 286,417 286,783 25,405 598,605
NY 2,403,374 4,107,697 310,928 6,821,999
NC 1,631,163 1,257,692 22,407 2,911,262
ND 174,852 95,284 18,120 288,256
OH 2,350,363 2,183,628 168,007 4,701,998
OK 744,337 474,276 15,616 1,234,229
OR 713,577 720,342 100,049 1,533,968
PA 2,281,127 2,485,967 146,025 4,913,119
RI 130,555 249,508 29,049 409,112
SC 785,937 565,561 31,219 1,382,717
SD 190,700 118,804 6,765 316,269
TN 1,061,949 981,720 32,512 2,076,181
TX 3,799,639 2,433,746 174,252 6,407,637
UT 515,096 203,053 52,605 770,754
VT 119,775 149,022 25,511 294,308
VA 1,437,490 1,217,290 84,667 2,739,447
WA 1,108,864 1,247,652 130,917 2,487,433
WV 336,475 295,497 16,152 648,124
WI 1,237,279 1,242,987 118,341 2,598,607
WY 147,947 60,481 9,923 218,351 
