State Democratic Republican Others Total
AL 849,624 1,441,170 32,488 2,323,282
AK 153,778 189,951 15,801 359,530
AZ 1,672,143 1,661,686 53,497 3,387,326
AR 423,932 760,647 34,490 1,219,069
CA 11,110,639 6,006,518 384,223 17,501,380
CO 1,804,352 1,364,607 88,021 3,256,980
CT 1,080,831 714,717 28,309 1,823,857
DE 296,268 200,603 7,475 504,346
DC 317,323 18,586 8,447 344,356
FL 5,297,045 5,668,731 101,680 11,067,456
GA 2,473,633 2,461,854 64,473 4,999,960
HI 366,130 196,864 11,475 574,469
ID 287,021 554,119 26,794 867,934
IL 3,471,915 2,446,891 114,938 6,033,744
IN 1,242,498 1,729,857 60,855 3,033,210
IA 759,061 897,672 34,138 1,690,871
KS 570,323 771,406 32,257 1,373,986
KY 772,474 1,326,646 37,648 2,136,768
LA 856,034 1,255,776 36,252 2,148,062
ME 435,072 360,737 23,652 819,461
MD 1,985,023 976,414 75,593 3,037,030
MA 2,382,202 1,167,202 81,998 3,631,402
MI 2,804,040 2,649,852 85,410 5,539,302
MN 1,717,077 1,484,065 76,029 3,277,171
MS 539,398 756,764 17,597 1,313,759
MO 1,253,014 1,718,736 54,212 3,025,962
MT 244,786 343,602 15,286 603,674
NE 374,583 556,846 24,954 956,383
NV 703,486 669,890 32,000 1,405,376
NH 424,937 365,660 15,608 806,205
NJ 2,608,400 1,883,313 57,744 4,549,457
NM 501,614 401,894 20,457 923,965
NY 5,244,886 3,251,997 119,978 8,616,861
NC 2,684,292 2,758,775 81,737 5,524,804
ND 115,042 235,751 11,231 362,024
OH 2,679,165 3,154,834 88,203 5,922,202
OK 503,890 1,020,280 36,529 1,560,699
OR 1,340,383 958,448 75,490 2,374,321
PA 3,458,229 3,377,674 101,073 6,936,976
RI 307,486 199,922 10,349 517,757
SC 1,091,541 1,385,103 36,685 2,513,329
SD 150,471 261,043 11,095 422,609
TN 1,143,711 1,852,475 57,665 3,053,851
TX 5,259,126 5,890,347 165,583 11,315,056
UT 560,282 865,140 62,867 1,488,289
VT 242,820 112,704 11,904 367,428
VA 2,413,568 1,962,430 84,526 4,460,524
WA 2,369,612 1,584,651 133,368 4,087,631
WV 235,984 545,382 13,365 794,731
WI 1,630,866 1,610,184 56,991 3,298,041
WY 73,491 193,559 9,715 276,765
